 
Quinary Quadratic Forms of Discriminants 346 to 400

D=  346; GENUS#    1; MASS=    1247/     192; HASSE SYMBOLS ARE -1-1          
   1   1   1   3  11   1   0   0   1   0   0   0   0   0   1;     24
   1   1   1   3  12   1   0   0   1   0   0   0   0   1   3;     24
   1   1   1   3  15   1   1   0   0   0   0   0   0   1   1;     48
   1   1   1   3  17   1   1   0   0   1   0   0   0   0   2;     48
   1   1   1   3  17   1   1   0   0   1   0   0   0   1   0;     48
   1   1   1   4   8   1   0   0   1   0   0   0   0   0   1;     24
   1   1   1   4   9   1   0   0   1   0   0   0   1   1  -3;     24
   1   1   1   4  13   1   1   0   1   0   0   0   0   1   1;     48
   1   1   1   5   8   1   0   0   1   0   1   0   0   0   5;     24
   1   1   1   7   8   1   1   0   0   1   0   0   1   0   6;     48
   1   1   2   2   7   0   1   0   0   0   1   1   0   0   0;      8
   1   1   2   2   9   1   0   0   1   0   0   0   0   1   1;     12
   1   1   2   2  11   1   1   0   0   1   0   0   1   0   0;     12
   1   1   2   3   5   0   0   0   0   1   1   0   0   1   3;      8
   1   1   2   3   5   0   0   0   0   1   1   0   1   2   0;      8
   1   1   2   3   5   0   0   0   1   0   2   0   0   1   0;      8
   1   1   2   3   6   0   1   0   0   1   2   0   1   0   0;      8
   1   1   2   3   6   0   1   1   0   1   0   0   1   2   0;      8
   1   1   2   3   6   0   1   1   0   1   0   1   0   0   2;      8
   1   1   2   3   6   1   0   0   1   1   1   0   0   1  -1;     12
   1   1   2   3   7   1   1   0   0   1   0   1   0   0   0;     12
   1   1   2   3   7   1   1   0   1   0   0   0   0   1   1;     12
   1   1   2   4   4   0   1   0   0   0   0   0   1   2   1;      8
   1   1   2   4   4   0   1   0   0   1   1   1   1   0   0;      8
   1   1   2   4   5   0   1   1   1   0   0   0   0   0   4;      8
   1   1   2   4   5   1   1   0   1   0   0   0   0   1   0;     12
   1   1   2   4   6   1   1   0   1   0   0   0   1   0   3;     12
   1   1   2   4   6   1   1   0   1   1   2   0   0   1   3;     12
   1   1   3   3   3   0   0   0   0   1   0   0   1   1   0;      8
   1   1   3   3   4   0   0   0   0   1   1   1   0   1  -3;      8
   1   1   3   3   4   0   0   0   0   1   3   0   0   1   2;      8
   1   1   3   3   4   0   0   0   0   1   3   1   0   1   0;      8
   1   1   3   3   4   0   1   0   0   1   1   0   0   2   3;      8
   1   1   3   3   4   0   1   0   0   1   2   0   0   1  -2;      8
   1   1   3   3   4   0   1   0   0   1   2   0   1   2   2;      8
   1   1   3   3   4   0   1   0   1   0   0   0   0   2  -3;      8
   1   1   3   3   4   0   1   0   1   0   2   0   0   0   3;      8
   1   1   3   3   4   0   1   1   1   0   2   1   0   0   2;      8
   1   1   3   3   4   1   0   0   0   0   1   0   1   0   2;     12
   1   1   3   3   5   1   1   0   0   0   2   0   0   3   1;     12
   1   1   3   3   5   1   1   0   0   0   2   0   1  -2   1;     12
   1   1   3   4   4   0   1   0   0   0   3   0   1   0   4;      8
   1   1   3   4   4   1   0   0   0   0   1   0   1   2   4;     12
   1   1   3   4   4   1   0   0   0   0   2   0   1   3   3;     12
   1   1   3   4   4   1   0   0   1   0   1   0   1   2  -3;     12
   1   1   3   4   4   1   0   0   1   0   3   0   1   2   1;     12
   1   1   3   4   4   1   1   0   0   1   0   0   1   1  -2;     12
